8chich,هشيش
cha3l,شاعل
DaSr,ضاصر
moudmin,مدمن
ghabyy,غبي
mkllkh,مكلخ
mjllj,مجلج
kbir,كبير
sghir,صغير
m8rrs,مهرس
momill,ممل
Sl3,صلع
ghliD,غليض
Tebbouz,طبوز
r9i9,رقيق
Twil,طويل
9Sir,قصير
zwin,زوين
bogos,بوڭوس
khayb,خايب
8bil,هبيل
mSTTi,مصطي
3aamr,عامر
jdid,جديد
9dim,قديم
charf,شارف
S3ib,صعيب
9as7,قاسح
sa8l,ساهل
m3TTl,معطل
7a9i9ia,حقيقية
3adi,عادي
gadd,ڭاد
bsiT,بسيط
m399d,معقد
t9il,تقيل
was3,واسع
nachT,ناشط
n9i,نقي
khayb,خايب
3aadil,عادل
ghany,غني
fa9ir,فقير
Tabi3i,طبيعي
mfrou9,مفروق
mch8our,مشهور
fr7an,فرحان
dourijin,دوريجين
khayf,خايف
Dakhm,ضاخم
3imla9,عملاق
za8i,زاهي
fakhour,فخور
raDi,راضي
7azin,حازين
nadm,نادم
mkta2b,مكتئب
mskin,مسكين
mrta7,مرتاح
mchghoul,مشغول
mchTon,مشطون
m3SSb,معصب
mochaghib,مشاغب
ghDban,غضبان
mrg,مرڭ
7chman,حشمان
kalm,كالم
wa7id,واحيد
mnba8er,منبهر
mstghrb,مستغرب
mchoki,مشوكي
mrwwn,مرون
mtredded,متردد
3yyan,عيان
Tmma3,طماع
anani,اناني
skhi,سخي
s9ram,سقرام
bakhil,بخيل
Drief,ضريف
Sbbar,صبار
m2ddb,مأدب
m3gaz,معڭاز
mojta8id,مجتهد
choja3,شجاع
za3em,زاعم
fDoli,فضولي
mghrour,مغرور
mtwaD3,متواضع
ja8il,جاهل
3abiT,عبيط
dki,دكي
7akim,حكيم
nabigha,نابغة
amine,امين
kddab,كداب
ghddar,غدار
nSSab,نصاب
nyya,نية
mtfa2l,متفائل
mtcha2m,متشائم
komik,كوميك
ytim,يتيم
7amla,حاملة
ijabi,إيجابي
silbi,سلبي
waa9i3i,واقعي
tay3yyef,تايعيف
tay3adi,تايعادي
3ma,عما
Smk,صمك
zizoun,زيزون
mchllel,مشلل
mo3wwa9,معواق
3agr,عاڭر
mj8oul,مجهول
m9boul,مقبول
m39ol,معقول
mn7az,منحاز
mo7ayid,موحاييد
waaD7,واضح
mojrim,مجرم
9ttal,قتال
ghali,غالي
rkhiS,رخيص
ga3,ڭاع
lkhrin,لخرين
zwin,زوين
lkher,لخر
b7al,بحال
sghir,صغير
mghyyer,مغير
lli mora,لي مورا
3aDim,عضيم
ma7lli,محلي
jtima3i,جتماعي
mo8im,مهم
waTani,وطني
3aali,عالي
Twil,طويل
ttani,تاني
waas3,واسع
3aamm,عام
momkin,ممكن
chaabb,شاب
syasi,سياسي
3omoumi,عمومي
mo7ddad,محدد
mojoud,موجود
bkri,بكري
asaasi,اساسي
ra2isi,رئيسي
9tiSadi,قتصادي
mo2kkad,مؤكد
ghaliban,غالبان
wa7id,وحيد
dawli,دولي
m2kked,مأكد
mo3yyan,معين
momyyaz,موميز
S3ib,صعيب
m7loul,محلول
kollchi,كولشي
neSS,نص
7orr,حر
markazi,مركزي
mochtarak,مشترك
cha2i3,شائع
mtchab8,متشابه
Darouri,ضاروري
S7i7,صحيح
3aazib,عازب
khaSS,خاص
chkhSi,شخصي
maali,مالي
ajnabi,اجنابي
chdid,شديد
naa9S,ناقص
mtnwwe3,متنوع
7aaDir,حاضير
malaki,ملكي
khaT2,خاطأ
bo7do,بوحدو
7aali,حالي
9aanouni,قانوني
7adit,حاديت
lkher,لخر
zwin,زوين
mzyan,مزيان
9rib,قريب
m39ol,معقول
saabi9,سابق
mo3tabar,معتبر
ra2is,رئيس
Sinaa3i,صناعي
mo7ddad,محدد
monaasib,مناسب
3aali,عالي
myyet,ميت
mt2ssef,متأسف
naaj7,ناجح
7rbi,حربي
asaasi,اساسي
wa3i,واعي
mch8our,مشهور
mi8ani,مهني
mobachir,مباشر
mofid,مفيد
f33al,فعال
wajd,واجد
mDllem,مضلم
mosta9ill,مستقل
t9lidi,تقليدي
ghrbi,غربي
mo3tabar,معتبر
bard,بارد
ms2oul,مسؤول
kaml,كامل
Tibbi,طبي
skhoun,سخون
dakari,دكري
awwali,اولي
madani,مدني
most9bali,مستقبلي
by2i,بيئي
waD7,واضح
lkbir,لكبير
nawawi,نووي
sanawi,سنوي
jihawi,جهوي
tijari,تجاري
llekher,لخر
taTbi9i,تطبيقي
3ami9,عميق
rsmi,رسمي
ra2isi,رئيسي
montaDim,منتضم
m2louf,مألوف
zayd,زايد
nachT,ناشط
standar,سطاندار
9wi,قوي
wasaT,وسط
gddami,ڭدامي
mosta7il,مستحيل
mnzili,منزلي
fi3li,فعلي
ti9ni,تقني
3adi,عادي
dakhili,داخلي
momtaz,ممتاز
Tri,طري
b3id,بعيد
mo7tamal,محتمل
chamali,شمالي
dini,ديني
ta9afi,ثقافي
mochtarak,مشترك
bo7do,بوحدو
aamin,امن
mo7afiD,محافض
chkli,شكلي
monasib,مناسب
bzzaf,بزاف
9arawi,قروي
mbda2i,مبدئي
maghaddch,ماغدش
mo3ddal,معدل
dafi,دافي
ghrib,غريب
mola2im,مولاأيم
m7bob,محبوب
fawri,فاوري
ijmali,يجمالي
msawi,مساوي
kafi,كافي
dimo9raTi,ديموقراطي
chr9i,شرقي
8adi2,هادئ
t3limi,تعليمي
S7i7,صحيح
3ilmi,علمي
ontawi,انثوي
39li,عقلي
khaTir,خطير
7arij,حرج
mDobl,مضوبل
sri3,سريع
mamo7tamalch,مامحتملش
m2lof,مألوف
tarikhi,تاريخي
janoubi,جنوبي
mitaali,مثالي
mSro3,مصروع
yawmi,يومي
mota7rrir,متحرر
liberali,ليبرالي
7aDari,حضاري
fogani,فوڭاني
bayn,باين
khaD3,خاضع
sghiwwer,صغيور
mDwwi,مضوي
akhla9i,اخلاقي
badil,بديل
jddab,جداب
radd lbal,راد لبال
7ayawi,حيوي
8amaji,همجي
khawi,خاوي
damawi,دموي
khariji,خارجي
charf,شارف
nisbi,نسبي
9dim,قديم
mkhtaSr,مختصر
gadd,ڭاد
namoudaji,نمودجي
mtisse3,متيسع
mDyye9,مضيق
kollo,كولو
ra2i3,رائع
tabt,تابت
mitali,متالي
akadimi,اكاديمي
9aaser,قاسر
mamo8immch,ماموهيمش
was3,واسع
naadir,نادر
7aadd,حاد
asaasi,اساسي
daym,دايم
ra8ib,رهيب
mriD,مريض
ghliD,غليض
maSiri,مصيري
daakhili,داخلي
taab3,تابع
mo3aSir,معاصر
kbir,كبير
sab9,سابق
taanawi,تانوي
fchkel,فشكل
8a2il,هائل
bo7do,بوحدو
7aadd,حاد
mriD,مريض
choyou3i,شيوعي
Saafi,صافي
mTwwel,مطول
modnib,مدنب
chaamil,شامل
Dakhm,ضخم
7yy,حي
zira3i,زراعي
ra2isi,رئيسي
f33al,فعال
mz8ar,مزهار
3orfi,عرفي
taTwwo3i,تطوعي
dramatiki,دراماتيكي
mo299at,مؤقت
da8abi,ذهبي
7ibbi,حيبي
m3tamd,معتمد
tanafosi,تنافسي
jdri,جدري
7ssas,حساس
kharj,خارج
msTT7,مسطح
3aaTifi,عاطفي
khaT2,خاطئ
monasib,مناسب
Si77i,صحي
chaamil,شامل
sri3,سريع
idaari,اداري
skkouti,سكوتي
l7dd,لحد
D3if,ضعيف
ml7ouD,ملحوض
sirri,سيري
3ziz,عزيز
jama3i,جماعي
fazg,فازڭ
9as7,قاسح
mota2lli9,متألق
electroni,الكتروني
moTla9,مطلق
kaytchaf,كيتشاف
tlkhcheb,تلخشب
Saarim,صارم
tDDo,تضو
kimya2i,كميائي
saami,سامي
adabi,ادبي
khaaliS,خالص
9as7,قاسح
mojrrad,مجرد
aSiil,اصيل
a9Saa,اقصا
ba8t,باهت
mntachr,منتشر
katoliki,كاتوليكي
klasiki,كلاسيكي
mofDDal,مفضل
chtiraki,شتراكي
3rram,عرام
7lo,حلو
mkhtalf,مختلف
tay9,تايق
Dedd,ضد
mofid,موفيد
S3ib,صعيب
mtnas9,متناسق
sri3,سريع
msta9err,مستاقر
goud,ڭود
kaykhle3,كايخلع
stratiji,ستراتيجي
momtaz,مومتاز
kliniki,كلينيكي
a9all haja,اقل حاجا
wa3i,واعي
msyTer,مسيطر
bard,بارد
dostouri,دستوري
ghDban,غضبان
naDari,نضري
m8moum,مهموم
mo9ddas,مقدس
sakani,سكني
monasib,مناسب
7eyy,حي
las9,لاسق
mousi9i,موسيقي
fo9 l3ada,فوق لعادا
khari9 lil3ada,خارق للعادا
nazih,نزيح
d9i9,دقيق
bayn,باين
9lil,قليل
dyal lflous,ديال لفلوس
3an bo3d,عن بعد
Sari7,صريح
b3id,بعيد
chomour,شومور
mchomer,مشومر
wagf,واڭف
Drief,ضريف
nefsi,نفسي
SSghir,صغير
mles,ملس
3anif,عنيف
haykali,هيكلي
mdwwer,مدور
7ssas,حساس
mol99ab,ملقب
mttaSel,متصل
9rib,قريب
momtann,ممتن
zwin,زوين
waD7,واضح
mawsimi,موسمي
momti3,ممتع
kawni,كوني
zamil,زميل
klasiki,كلاسيكي
mossekh,موسخ
kaykaafe2,كيكافئ
mrkhi,مرخي
mobdi3,مبدع
ni8aa2i,نهائي
loghawi,لغوي
taabt,تابت
fikri,فكري
fa9d l2amal,فاقد لأمل
9aDaa2i,قضائي
tawri,توري
imbraTouri,امبراطوري
ghayr 9anoni,غير قانوني
khaam,خام
khaariji,خارجي
ghayr rsmi,غير رسمي
morr,مر
tjribi,تجريبي
jama3i,جامعي
kayt3awd,كايتعاود
rou7i,روحي
mcharji,مشارجي
taarikhi,تاريخي
m39oul,معقول
mamnasbch,ممناسبش
7add,حاد
mnTi9i,منطقي
m9bol,مقبول
osbou3i,اسبوعي
3chwa2i,عشوائي
mtwaD3,متواضع
mzyyer,مزير
na3s,ناعس
dki,دكي
ms2oul,مسؤول
motabaadal,متبادل
moDa3af,مضاعف
ti9a,تيقة
bo7do,بوحدو
nnawa7i,نواحي
8aamichi,هامشي
mTab9,مطابق
bDDbT,بضبط
ntikhabi,نتخابي
momyyiz,ممييز
chafawi,شفوي
3ryan,عريان
ri2aasi,رئاسي
3oDwi,عضوي
bl7sab,بلحساب
3ajil,عاجل
mrghoub,مرغوب
7Sri,حصري
yawmi,يومي
ra2i3,رائع
Saarim,صارم
mamtwe99e3ch,ممتوقعش
barii2,بريء
b7ri,بحري
romansi,رومانسي
mSTane3,مصطنع
mo2ssasati,مؤسساتي
bioloji,بيولوجي
monaasib,مناسب
8a2il,هائل
ra2smali,رأسمالي
khddam,خدام
mikaniki,ميكانيكي
mobaachir,مباشر
mami99ench,ماميقنش
r9mi,رقمي
mod8il,مدهل
3odwani,عدواني
3ryan,عريان
machi 3aadil,ماشي عادل
mtfowwe9,متفوق
kolla ch8er,كل شهر
tchri3i,تشريعي
iDafi,اضافي
Sarii7,صريح
mo2lim,مألم
mtab3,متابع
dki,دكي
m9lle9,مقلق
jiini,جيني
maDarorich,مضاروريش
mo2ttir,مأثر
ghir,غير
hir,"هير "
ji3an,جيعان
mokttaf,مكثف
stiwa2i,ستيوائي
mowazi,موازي
mabaynch,مباينش
2aamin,امن
lt7tani,لتحتاني
ftitaa7i,فتتاحي
joz2i,جزئي
a9all,اقل
mosa3id,مساعد
3amoudi,عمودي
tdriiji,تدريجي
9aarri,قاري
stitna2i,ستيتناأي
kay3yyef,كيعيف
raa9i,راقي
mlmous,ملموس
mo299at,موأقات
ilzami,يلزامي
mozmin,موزمن
kaytkhlleS,كيتخلص
mn8aji,منهاجي
mawDou3i,موضوعي
momyyiz,مومييز
fazg,فازڭ
7ssas,حساس
momill,ممل
si7ri,سحري
awwal,اول
kayD77ek,كيضحك
khddam,خدام
stichaari,ستشاري
bida2i,بدائي
idioloji,أيديولوجي
tiknoloji,تكنولوجي
ani9,انيق
mo3akis,معاكس
mlas9,ملاسق
3odwani,عدواني
mitli,مثلي
2aamn,امن
kaykhle3,كيخلع
joghrafi,جغرافي
dinamiki,ديناميكي
mota7rrik,متحرك
momtaz,ممتاز
ghayr mobachir,غير مباشر
tamiin,ثمين
ghali,غالي
ml7ouD,ملحوض
mo7ddad,محدد
mo2sif,مؤسف
fnni,فني
mighnaTisi,مغناطيسي
makayt9adach,مكايتقاداش
charis,شرس
khfif,خفيف
mj88d,مجهد
Tamou7,طموح
bl8Dra,بلهضرا
naDj,ناضج
chr3i,شرعي
m3rouf,معروف
mo7rij,محرج
raDi,راضي
tjribi,تجريبي
S3ib,صعيب
9as7,قاسح
mt3aaTf,متعاطف
sti3mari,ستعماري
khbit,خبيت
chirrir,شرير
b7ri,بحري
mlaa2em,ملائم
wsT,وسط
ghayb,غايب
was3,واسع
3ir9i,عرقي
tmtiili,تمتيلي
ba8t,باهت
7ayawi,حيوي
saa7ili,ساحلي
mt7mmes,متحمس
feminist,فمينيست
Solb,صلب
3ami9,عاميق
nisbi,نسبي
gharib,غريب
mofid,مفيد
motan99il,متنقل
montij,منتج
sT7i,سطحي
7ariiS,حريص
remzi,رمزي
m3tadl,معتدل
9aatil,قاتل
mjmou3,مجموع
morbi7,مربح
monafis,منافس
jozay2i,جزيئي
idaari,اداري
ddakhili,داخلي
khTTi,خطي
makafich,مكافيش
mo288al,مؤهل
m3nfj,معنفج
mamori7ch,مموريحش
mokhliS,مخلص
morta9ab,مرتقب
tlwalidin,تلواليدين
maali,مالي
tlflous,تلفلوس
khawi,خاوي
9aasi,قاسي
w7chi,وحشي
mtnww3,متنوع
nabil,نبيل
motaghyyir,متغير
mt2aSSel,متأصل
kham,خام
mchbou8,مشبوه
nti9a2i,نتقائي
mfSSl,مفصل
mtwsseT,متوسط
ghaamiD,غامض
flsafi,فلسفي
mt3mmed,متعمد
7anoun,حانون
m7DouD,محضوض
m7mi,محمي
mo9ddas,موقداس
sa2il,ساأيل
chmsi,شمسي
mamofri7ch,ماموفريحش
ryaDyati,رياضي
difaa3i,دفاعي
mi3maari,معماري
ghayr monaasib,غاير مناسب
yadawi,يدوي
da2iri,دائري
moSirr,مصر
motaabir,متابر
ilaahi,الاهي
makaani,مكاني
mam9bolch,ممقبولش
msmoum,مسموم
mo288al,مؤهل
mtkaml,متكامل
mam9yousch,ممقيوسش
mkhtar,مختار
m3awd,معاود
zayd,زايد
za3m,زاعم
8aawi,هاوي
gddami,ڭدامي
9ddami,قدامي
mabaynch,مباينش
idraaki,يدراكي
m2sawi,مأساوي
mofji3,مفجع
tnDimi,تنضيمي
7aasim,حاسم
i9limi,اقليمي
mnTa9i,منطاقي
fay9,فايق
daakhili,داخلي
mo7tamal,محتمل
3ksi,عكسي
mo7taram,محترم
sakn,ساكن
mo9iim,مقيم
madani,مدني
,
mt3SSeb,متعصب
tabt,تابت
wagf,واڭف
mtwaf9,متوافق
sababi,سببي
Dimni,ضمني
mamfrouchch,ممفروش
9diim,قديم
jamaali,جمالي
mbogs,مبوڭس
mjmo3,مجموع
r9i9,رقيق
Twil,طويل
mozdawij,مزدوج
machi mawDoo3i,ماشي موضوعي
mafrasoch,مفراسوش
mawa3ich,مواعيش
akhla9i,اخلاقي
mstili,مستيلي
mjhoul,مجهول
fchkel,فشكل
gharib,غريب
moraa8i9,مراهق
ghali,غالي
kaariti,كارثي
msta9ll,مستقل
radd lbal,راد لبال
dyal ddarra,ديال دارا
sirri,سري
7m9,حمق
mlwwen,ملون
bnin,بنين
3ami9,عميق
moghram,مغرم
jdid,جديد
mntaDm,منتضم
mtnas9,متناسق
majiid,مجيد
nfsi,نفسي
mo3jami,معجمي
tTawwori,تطوري
kayrbbi,كيربي
t2dibi,تأديبي
3tibaaTyan,عتباطيان
kayfrre7,كيفرح
mtchrred,متشرد
chmkar,شمكار
gharib,غريب
fa2iD,فائض
zyada,زيادا
7amimi,حاميمي
tdriji,تدريجي
flkharj,فلخارج
mi8ani,مهني
tlkhdma,تلخدمة
3aalami,عالمي
7chman,حشمان
tnDimi,تنضيمي
khbit,خبيت
takhayyoli,تاخايولي
3ajib,عاجيب
ni8a2i,نيهاأي
mrtajl,مرتاجل
makaytSnne3ch,ماكايتصنعش
wizari,ويزاري
mobtakar,موبتاكار
mafaa8iimi,مافاهيمي
madani,ماداني
7eyy,حي
tnna7w,تناحو
mokhliS,موخليص
mtwsseT,متوسط
tkmili,تكميلي
jyoloji,جيولوجي
bnnaa2,بناأ
kaybni,كايبني
ghayr mnTi9i,غاير منطيقي
Darori,ضاروري
mchmmech,مشمش
ta3aawoni,تاعاووني
solouki,سولوكي
mabaghich,ماباغيش
S7i7,صحيح
khtiyari,ختيياري
aSli,اصلي
manaje7ch,ماناجحش
mam2ddebch,مامأدبش
mamrbbich,مامربيش
borjwazi,بورجوازي
3ilmani,عيلماني
momti3,مومتيع
mo299at,موأقات
mosaa8im,موساهيم
akhir,اخير
ni8aa2i,نيهاأي
3amali,عامالي
mokttaf,موكتاف
fotoghrafi,فوتوغرافي
tlbaladia,تلبالاديا
mt7mmes,متحمس
m7doud,محدود
wa7id,واحيد
daakhili,داخيلي
mtwetter,متوتر
blcontra,بلكونترا
ta3aa9odi,تاعاقودي
ftiraDi,فتيراضي
khaTir,خاطير
atari,اتاري
bayn,باين
kay8ezz,كايهز
tafaa3oli,تفاعلي
w7chi,وحشي
chkli,شكلي
makattnsach,ماكاتنساش
ka2ib,كاأيب
t7tani,تحتاني
tlmSaren,تلمصارن
mokmmil,مكمل
mo8oub,موهوب
abadi,ابادي
jasadi,جاسادي
si7ri,سيحري
mf8oum,مفهوم
bayn,باين
mawaD7ch,ماواضحش
aSli,اصلي
momkina,مومكينا
magaddch,ماڭادش
ma9aderch,ماقادرش
komik,كوميك
moD7ik,موضحيك
komidi,كوميدي
sti3mari,ستيعماري
mn3azl,منعازل
3abati,عاباتي
moDirr,موضير
ghamD,غامض
khawi,خاوي
chyaTa,شياطا
kaytlSS9,كايتلصق
khfif,خفيف
sri3,سريع
moSghghara,موصغغارا
bzzaf,بزاف
machi Tabi3i,ماشي طابيعي
3orfi,عورفي
kayDerr,كايضر
mochi33,موشيع
kay9tel,كيقتل
m9boul,مقبول
9aabil,قابل
jtima3i,جتماعي
magaddch,ماڭادش
radd lbal,راد لبال
mam3rofch,مامعروفش
jira7i,جيراحي
mo3awin,موعاوين
mo2nnat,موأنات
kayfrchekh,كايفرشخ
kiwalo,كيوالو
tonaa2i,توناأي
baghi,باغي
naatj,ناتج
9wi,قوي
wa3r,واعر
S7i7,صحيح
fasd,فاسد
m3foun,معفون
waa9i3i,واقيعي
3amali,عامالي
ghayr morDi,غاير مورضي
w9t joz2i,وقت جوزأي
mi8ani,ميهاني
marin,مارين
mch8or,مشهور
m3aarD,معارض
mojrrad,مجرد
laa2i9,لاأيق
jjay,جاي
mn7adr,منحادر
kaytTbbe9,كايتطبق
kasoul,كاسول
9bi7,قبيح
ch8eb,شهب
droka,دروك
D3if,ضعيف
mobrziT,موبرزيط
frra3,فراع
mozwwir,موزوير
mo8jjij,مهجيج
mo3nfij,معنفيج
msbiTr,مسبيطر
m7chchech,محشش
mSr8eT,مصرهط
9walbi,قوالبي
bkkay,بكاي
mokhlwiD,موخلويض
7rayfi,حرايفي
mawaD7ch,ماواضحش
8aamichi,هاميشي
motaw99a3,متوقع
8ojoumi,هجومي
mtna9D,متناقض
mawsimi,موسمي
jbbar,جبار
mrowwen,مرون
baSari,بصري
lani8a2i,لانيهاأي
mdikori,مدكوري
kammi,كمي
mtnaasb,متناسب
biro9raTi,بيروقراطي
kayghir,كيغير
khayali,خايالي
mghyar,مغيار
ldid,لديد
bayn,باين
mftou7,مفتوح
sad,ساد
mesdoud,مسدود
m7loul,محلول
ghaleT,غالط
mbeddel,مبدل
S7i7,صحيح
mwellef,مولف
dayekh,دايخ
mdowwakh,مدوخ
mberrer,مبرر
,
dima,ديما
machi,ماشي
ghaliban,غالبا
9aryban,قريبا
bkri,بكري
bchwia,بشويا
bl8adawa,بلهاداوا
imkn,يمكن
8na,هنا
l8i8,لهيه
9rib,قريب
lfo9,لفوق
mn b3d,من بعد
daba,دابا
chwia,شوية
bzzaf,بزاف
kolliyan,كليا
flblaSa,فلبلاصا
t9riban,تقريبا
