howa,انا,نتا,نتي,حووا,حيا,حنا,نتوما,حوما
kla,كليت,كليتي,كليتي,كلا,كلات,كلينا,كليتو,كلاو
chreb,شربت,شربتي,شربتي,شرب,شربات,شربنا,شربتو,شربو
dkhel,دخلت,دخلتي,دخلتي,دخل,دخلات,دخلنا,دخلتو,دخلو
khrej,خرجت,خرجتي,خرجتي,خرج,خرجات,خرجنا,خرجتو,خرجو
f8em,فهمت,فهمتي,فهمتي,فهم,فهمات,فهمنا,فهمتو,فهمو
chre7,شرحت,شرحتي,شرحتي,شرح,شرحات,شرحنا,شرحتو,شرحو
9ra,قريت,قريتي,قريتي,قرا,قرات,قرينا,قريتو,قراو
9erra,قريت,قريتي,قريتي,قرا,قرات,قرينا,قريتو,قراو
sme3,سمعت,سمعتي,سمعتي,سمع,سمعات,سمعنا,سمعتو,سمعو
chaf,شفت,شفتي,شفتي,شاف,شافت,شفنا,شفتو,شافو
chm,شميت,شميتي,شميتي,شم,شمات,شمينا,شميتو,شمو
da9,دقت,دقتي,دقتي,داق,داقت,دقنا,دقتو,داقو
9as,قست,قستي,قستي,قاس,قاست,قسنا,قستو,قاسو
mcha,مشيت,مشيتي,مشيتي,مشا,مشات,مشينا,مشيتو,مشاو
ja,جيت,جيتي,جيتي,جا,جات,جينا,جيتو,جاو
tl3,تلعت,تلعتي,تلعتي,تلع,تلعات,تلعنا,تلعتو,تلعو
nzl,نزلت,نزلتي,نزلتي,نزل,نزلات,نزلنا,نزلتو,نزلو
3am,عمت,عمتي,عمتي,عام,عامت,عمنا,عمتو,عامو
ghr9,غرقت,غرقتي,غرقتي,غرق,غرقات,غرقنا,غرقتو,غرقو
lbs,لبست,لبستي,لبستي,لبس,لبسات,لبسنا,لبستو,لبسو
slt,سلت,سلتي,سلتي,سلت,سلتات,سلتنا,سلتو,سلتو
chra,شريت,شريتي,شريتي,شرا,شرات,شرينا,شريتو,شراو
ba3,بعت,بعتي,بعتي,باع,باعت,بعنا,بعتو,باعو
ttawa,تاويت,تاويتي,تاويتي,تاوا,تاوات,تاوينا,تاويتو,تاواو
ktb,كتبت,كتبتي,كتبتي,كتب,كتبات,كتبنا,كتبتو,كتبو
ms7,مسحت,مسحتي,مسحتي,مسح,مسحات,مسحنا,مسحتو,مسحو
drab,دربت,دربتي,دربتي,دراب,دربات,دربنا,دربتو,دربو
tsalm,تسالمت,تسالمتي,تسالمتي,تسالم,تسالمات,تسالمنا,تسالمتو,تسالمو
3ya,عييت,عييتي,عييتي,عيا,عيات,عيينا,عييتو,عياو
tskhskh,تسخسخت,تسخسختي,تسخسختي,تسخسخ,تسخسخات,تسخسخنا,تسخسختو,تسخسخو
D7k,ضحكت,ضحكتي,ضحكتي,ضحك,ضحكات,ضحكنا,ضحكتو,ضحكو
ghdb,غدبت,غدبتي,غدبتي,غدب,غدبات,غدبنا,غدبتو,غدبو
jab,جبت,جبتي,جبتي,جاب,جابت,جبنا,جبتو,جابو
kan,كنت,كنتي,كنتي,كان,كانت,كنا,كنتو,كانو
dar,درت,درتي,درتي,دار,دارت,درنا,درتو,دارو
gal,ڭلت,ڭلتي,ڭلتي,ڭال,ڭالت,ڭلنا,ڭلتو,ڭالو
3ndo,عندي,عندك,عندك,عندو,عندحا,عندنا,عندكوم,عندحوم
chedd,شديت,شديتي,شديتي,شد,شدات,شدينا,شديتو,شدو
fkkr,فكرت,فكرتي,فكرتي,فكر,فكرات,فكرنا,فكرتو,فكرو
ba,بيت,بيتي,بيتي,با,بات,بينا,بيتو,باو
bgha,بغيت,بغيتي,بغيتي,بغا,بغات,بغينا,بغيتو,بغاو
l9a,لقيت,لقيتي,لقيتي,لقا,لقات,لقينا,لقيتو,لقاو
3Ta,عطيت,عطيتي,عطيتي,عطا,عطات,عطينا,عطيتو,عطاو
khdm,خدمت,خدمتي,خدمتي,خدم,خدمات,خدمنا,خدمتو,خدمو
3yeT,عيطت,عيطتي,عيطتي,عيط,عيطات,عيطنا,عيطتو,عيطو
khaSSo,خاصني,خاصك,خاصك,خاصو,خاصحا,خاصنا,خاصكوم,خاصحوم
7ess,حسيت,حسيتي,حسيتي,حس,حسات,حسينا,حسيتو,حسو
wlla,وليت,وليتي,وليتي,ولا,ولات,ولينا,وليتو,ولاو
7TT,حطيت,حطيتي,حطيتي,حط,حطات,حطينا,حطيتو,حطو
3na,عنيت,عنيتي,عنيتي,عنا,عنات,عنينا,عنيتو,عناو
bda,بديت,بديتي,بديتي,بدا,بدات,بدينا,بديتو,بداو
l9a,لقيت,لقيتي,لقيتي,لقا,لقات,لقينا,لقيتو,لقاو
3jb,عجبت,عجبتي,عجبتي,عجب,عجبات,عجبنا,عجبتو,عجبو
khbr,خبرت,خبرتي,خبرتي,خبر,خبرات,خبرنا,خبرتو,خبرو
3awn,عاونت,عاونتي,عاونتي,عاون,عاونات,عاونا,عاونتو,عاونو
wjjd,وجدت,وجدتي,وجدتي,وجد,وجدات,وجدنا,وجدتو,وجدو
2amn,أامنت,أامنتي,أامنتي,أامن,أامنات,أامنا,أامنتو,أامنو
7awl,حاولت,حاولتي,حاولتي,حاول,حاولات,حاولنا,حاولتو,حاولو
jrrb,جربت,جربتي,جربتي,جرب,جربات,جربنا,جربتو,جربو
swwl,سولت,سولتي,سولتي,سول,سولات,سولنا,سولتو,سولو
tfkkr,تفكرت,تفكرتي,تفكرتي,تفكر,تفكرات,تفكرنا,تفكرتو,تفكرو
mcha,مشيت,مشيتي,مشيتي,مشا,مشات,مشينا,مشيتو,مشاو
byyen,بينت,بينتي,بينتي,بين,بينات,بينا,بينتو,بينو
l3b,لعبت,لعبتي,لعبتي,لعب,لعبات,لعبنا,لعبتو,لعبو
jra,جريت,جريتي,جريتي,جرا,جرات,جرينا,جريتو,جراو
9ra,قريت,قريتي,قريتي,قرا,قرات,قرينا,قريتو,قراو
sala,ساليت,ساليتي,ساليتي,سالا,سالات,سالينا,ساليتو,سالاو
9TT3,قطعت,قطعتي,قطعتي,قطع,قطعات,قطعنا,قطعتو,قطعو
8Dr,هضرت,هضرتي,هضرتي,هضر,هضرات,هضرنا,هضرتو,هضرو
chker,شكرت,شكرتي,شكرتي,شكر,شكرات,شكرنا,شكرتو,شكرو
bddel,بدلت,بدلتي,بدلتي,بدل,بدلات,بدلنا,بدلتو,بدلو
kmmel,كملت,كملتي,كملتي,كمل,كملات,كملنا,كملتو,كملو
ftarD,فتارضت,فتارضتي,فتارضتي,فتارض,فتارضات,فتارضنا,فتارضتو,فتارضو
tmnna,تمنيت,تمنيتي,تمنيتي,تمنا,تمنات,تمنينا,تمنيتو,تمناو
tb3,تبعت,تبعتي,تبعتي,تبع,تبعات,تبعنا,تبعتو,تبعو
9bl,قبلت,قبلتي,قبلتي,قبل,قبلات,قبلنا,قبلتو,قبلو
rfD,رفضت,رفضتي,رفضتي,رفض,رفضات,رفضنا,رفضتو,رفضو
w93,,,,وقع,وقعات,,,وقعو
gls,ڭلست,ڭلستي,ڭلستي,ڭلس,ڭلسات,ڭلسنا,ڭلستو,ڭلسو
rb7,ربحت,ربحتي,ربحتي,ربح,ربحات,ربحنا,ربحتو,ربحو
zad,زدت,زدتي,زدتي,زاد,زادت,زدنا,زدتو,زادو
t3llm,تعلمت,تعلمتي,تعلمتي,تعلم,تعلمات,تعلمنا,تعلمتو,تعلمو
tsnna,تسنيت,تسنيتي,تسنيتي,تسنا,تسنات,تسنينا,تسنيتو,تسناو
sifT,سيفطت,سيفطتي,سيفطتي,سيفط,سيفطات,سيفطنا,سيفطتو,سيفطو
ba3,بعت,بعتي,بعتي,باع,باعت,بعنا,بعتو,باعو
7ell,حليت,حليتي,حليتي,حل,حلات,حلينا,حلو,حلو
bna,بنيت,بنيتي,بنيتي,بنا,بنات,بينا,بنيتو,بناو
khtar,ختاريت,ختاريتي,ختاريتي,ختار,ختارت,ختارينا,ختاريتو,ختارو
wSl,وصلت,وصلتي,وصلتي,وصل,وصلات,وصلنا,وصلتو,وصلو
9rrer,قررت,قرتي,قرتي,قرر,قررات,قررنا,قررتو,قررو
nchT,نشطت,نشطتي,نشطتي,نشط,نشطات,نشطنا,نشطتو,نشطو
tfrrj,تفرجت,تفرجتي,تفرجتي,تفرج,تفرجات,تفرجنا,تفرجتو,تفرجو
khsr,خسرت,خسرتي,خسرتي,خسر,خسرات,خسرنا,خسرتو,خسرو
tmchcha,تمششيت,تمششيتي,تمششيتي,تمششا,تمششات,تمششينا,تمششيتو,تمششاو
kbbr,كبرت,كبرتي,كبرتي,كبر,كبرات,كبرنا,كبرتو,كبرو
tkhyyl,تخيلت,تخيلتي,تخيلتي,تخيل,تخيلات,تخيلنا,تخيلتو,تخيلو
sbbeb,سببت,سببتي,سببتي,سبب,سببات,سببنا,سببتو,سببو
8rrs,هرست,هرستي,هرستي,هرس,هرسات,هرسنا,هرستو,هرسو
sme3,سمعت,سمعتي,سمعتي,سمع,سمعات,سمعنا,سمعتو,سمعو
kbr,كبرت,كبرتي,كبرتي,كبر,كبرات,كبرنا,كبرتو,كبرو
mat,مت,متي,متي,مات,ماتت,متنا,متو,ماتو
twffa,توفيت,توفيتي,توفيتي,توفا,توفات,توفينا,توفيتو,توفاو
zar,زرت,زرتي,زرتي,زار,زارت,زرنا,زرتو,زارو
chjje3,شجعت,شجعتي,شجعتي,شجع,شجعات,شجعنا,شجعتو,شجعو
7ama,حاميت,حاميتي,حاميتي,حاما,حامات,حامينا,حاميتو,حاماو
nchr,نشرت,نشرتي,نشرتي,نشر,نشرات,نشرنا,نشرتو,نشرو
9tl,قتلت,قتلتي,قتلتي,قتل,قتلات,قتلنا,قتلتو,قتلو
sag,سڭت,سڭتي,سڭتي,ساڭ,ساڭت,سڭنا,سڭتو,ساڭو
kdb,كدبت,كدبتي,كدبتي,كدب,كدبات,كدبنا,كدبتو,كدبو
t9aj7,تقاجحت,تقاجحتي,تقاجحتي,تقاجح,تقاجحات,تقاجحنا,تقاجحتو,تقاجحو
7yyed,حيدت,حيدتي,حيدتي,حيد,حيدات,حيدنا,حيدتو,حيدو
ddabz,دابزت,دابزتي,دابزتي,دابز,دابزات,دابزنا,دابزتو,دابزو
3mmr,عمرت,عمرتي,عمرتي,عمر,عمرات,عمرنا,عمرتو,عمرو
safr,سافرت,سافرتي,سافرتي,سافر,سافرات,سافرنا,سافرتو,سافرو
7Dr,حضرت,حضرتي,حضرتي,حضر,حضرات,حضرنا,حضرتو,حضرو
9sse7,قسحت,قسحتي,قسحتي,قسح,قسحات,قسحنا,قسحتو,قسحو
3ana,عانيت,عانيتي,عانيتي,عانا,عانات,عانينا,عانيتو,عاناو
zgl,زڭلت,زڭلتي,زڭلتي,زڭل,زڭلات,زڭلنا,زڭلتو,زڭلو
l9a,لقيت,لقيتي,لقيتي,لقا,لقات,لقينا,لقيتو,لقاو
lga,لڭا,لڭات,لڭاو
3bbr,عبرت,عبرتي,عبرتي,عبر,عبرات,عبرنا,عبرتو,عبرو
rkkz,ركزت,ركزتي,ركزتي,ركز,ركزات,ركزنا,ركزتو,ركزو
la7,لحت,لحتي,لحتي,لاح,لاحت,لحنا,لحتو,لاحو
Sawb,صاوبت,صاوبتي,صاوبتي,صاوب,صاوبات,صاوبنا,صاوبتو,صاوبو
9ra,قريت,قريتي,قريتي,قرا,قرات,قرينا,قريتو,قراو
df3,دفعت,دفعتي,دفعتي,دفع,دفعات,دفعنا,دفعتو,دفعو
wrrk,وركت,وركتي,وركتي,ورك,وركات,وركنا,وركتو,وركو
wSl,وصلت,وصلتي,وصلتي,وصل,وصلات,وصلنا,وصلتو,وصلو
Sona,صونيت,صونيتي,صونيتي,صونا,صونات,صونينا,صونيتو,صوناو
jm3,جمعت,جمعتي,جمعتي,جمع,جمعات,جمعنا,جمعتو,جمعو
8rb,هربت,هربتي,هربتي,هرب,هربات,هربنا,هربتو,هربو
r77b,رحبت,رحبتي,رحبتي,رحب,رحبات,رحبنا,رحبتو,رحبو
3wwl,عولت,عولتي,عولتي,عول,عولات,عولنا,عولتو,عولو
ta9,تقت,تقتي,تقتي,تاق,تاقت,تقنا,تقتو,تاقو
3awd,عاودت,عاودتي,عاودتي,عاود,عاودات,عاودنا,عاودتو,عاودو
khTTeT,خططت,خططتي,خططتي,خطط,خططات,خططنا,خططتو,خططو
frch,فرشت,فرشتي,فرشتي,فرش,فرشات,فرشنا,فرشتو,فرشو
2kkd,أكدت,أكدتي,أكدتي,أكد,أكدات,أكدنا,أكدتو,أكدو
kr8,كرهت,كرهتي,كرهتي,كره,كرهات,كرهنا,كرهتو,كرهو
tjwwj,تجوجت,تجوجتي,تجوجتي,تجوج,تجوجات,تجوجنا,تجوجتو,تجوجو
9sm,قسمت,قسمتي,قسمتي,قسم,قسمات,قسمنا,قسمتو,قسمو
tbnna,تبنيت,تبنيتي,تبنيتي,تبنا,تبنات,تبنينا,تبنيتو,تبناو
tja8l,تجاهلت,تجاهلتي,تجاهلتي,تجاهل,تجاهلات,تجاهلنا,تجاهلتو,تجاحلو
3rrf,عرفت,عرفتي,عرتي,عرف,عرفات,عرفنا,عرفتو,عرفو
9ddm,قدمت,قدمتي,قدمتي,قدم,قدمات,قدمنا,قدمتو,قدمو
trina,ترينيت,ترينيتي,ترينيتي,ترينا,ترينات,ترينينا,ترينيتو,تريناو
br8n,برهنت,برهنتي,برهنتي,برهن,برهنات,برهنا,برهنتو,برهنو
9n3,قنعت,قنعتي,قنعتي,قنع,قنعات,قنعنا,قنعتو,قنعو
9ll3,قلعت,قلعتي,قلعتي,قلع,قلعات,قلعنا,قلعتو,قلعو
Swwt,صوت,صوتي,صوتي,صوت,صوتات,صوتنا,صوتو,صوتو
nkr,نكرت,نكرتي,نكرتي,نكر,نكرات,نكرنا,نكرتو,نكرو
khbba,خبيت,خبيتي,خبيتي,خبا,خبات,خبينا,خبيتو,خباو
nj7,نجحت,نجحتي,نجحتي,نجح,نجحات,نجحنا,نجحتو,نجحو
Tlb,طلبت,طلبتي,طلبتي,طلب,طلبات,طلبنا,طلبتو,طلبو
3tarf,عتارفت,عتارفتي,عتارفتي,عتارف,عتارفات,عتارفنا,عتارفتو,عتارفو
7sb,حسبت,حسبتي,حسبتي,حسب,حسبات,حسبنا,حسبتو,حسبو
ntama,نتاما,نتاميتي,نتاميتي,نتاما,نتامات,نتامينا,نتاميتو,نتاماو
chekk,شكيت,شكيتي,شكيتي,شك,شكات,شكينا,شكيتو,شكو
ghnna,غنيت,غنيتي,غنيتي,غنا,غنات,غنينا,غنيتو,غناو
nwa,نويت,نويتي,نويتي,نوا,نوات,نوينا,نويتو,نواو
brrer,بررت,بررتي,بررتي,برر,بررات,بررنا,بررتو,بررو
daf3,دافعت,دافعتي,دافعتي,دافع,دافعات,دافعنا,دافعتو,دافعو
z3m,زعمت,زعمتي,زعمتي,زعم,زعمات,زعمنا,زعمتو,زعمو
tsara7,تساراحت,تساراحتي,تساراحتي,تساراح,تساراحات,تساراحنا,تساراحتو,تساراحو 
7km,حكمت,حكمتي,حكمتي,حكم,حكمات,حكمنا,حكمتو,حكمو
chark,شاركت,شاركتي,شاركتي,شارك,شاركات,شاركنا,شاركتو,شاركو
ghsl,غسلت,غسلتي,غسلتي,غسل,غسلات,غسلنا,غسلتو,غسلو
la7D,لاحضت,لاحضتي,لاحضتي,لاحض,لاحضات,لاحضنا,لاحضتو,لاحضو
khddm,خدمت,خدمتي,خدمتي,خدم,خدمات,خدمنا,خدمتو,خدمو
jm3,جمعت,جمعتي,جمعتي,جمع,جمعات,جمعنا,جمعتو,جمعو
l77,لحيت,لحيتي,لحيتي,لح,لحات,لحينا,لحيتو,لحو
tla7,تلاحيت,تلاحيتي,تلاحيتي,تلاح,تلاحت,تلاحينا,تلاحيتو,تلاحو
Tyyb,طيبت,طيبتي,طيبتي,طيب,طيبات,طيبنا,طيبتو,طيبو
bka,بكات,بكيتي,بكيتي,بكا,بكات,بكينا,بكيتو,بكاو
n3s,نعست,نعستي,نعستي,نعس,نعسات,نعسنا,نعستو,نعسو
fa9,فقت,فقتي,فقتي,فاق,فاقت,فقنا,فقتو,فاقو
jm3,جمعت,جمعتي,جمعتي,جمع,جمعات,جمعنا,جمعتو,جمعو
nsa7b,نساحبت,نساحبتي,نساحبتي,نساحب,نساحبات,نساحبنا,نساحبتو,نساحبو
7ll,حليت,حليتي,حليتي,حل,حلات,حلينا,حليتو,حلو
khbr,خبرت,خبرتي,خبرتي,خبر,خبرات,خبرنا,خبرتو,خبرو
stalzem,ستالزمت,ستالزمتي,ستالزمتي,ستالزم,ستالزمات,ستالزمنا,ستالزمتو,ستالزمو
tsllf,تسلفت,تسلفتي,تسلفتي,تسلف,تسلفات,تسلفنا,تسلفتو,تسلفو
swwl,سولت,سولتي,سولتي,سول,سولات,سولنا,سولتو,سولو
khaTr,خاطرت,خاطرتي,خاطرتي,خاطر,خاطرات,خاطرنا,خاطرتو,خاطرو
sm7,سمحت,سمحتي,سمحتي,سمح,سمحات,سمحنا,سمحتو,سمحو
sam7,سامحت,سامحتي,سامحتي,سامح,سامحات,سامحنا,سامحتو,سامحو
9tar7,قتارحت,قتارحتي,قتارحتي,قتارح,قتارحات,قتارحنا,قتارحتو,قتارحو
7tafl,حتافلت,حتافلتي,حتافلتي,حتافل,حتافلات,حتافلنا,حتافلتو,حتافلو
Dyy3,ضيعت,ضيعتي,ضيعتي,ضيع,ضيعات,ضيعنا,ضيعتو,ضيعو
ghbr,غبرت,غبرتي,غبرتي,غبر,غبرات,غبرنا,غبرتو,غبرو
tw993,توقعت,توقعتي,توقعتي,توقع,توقعات,توقعنا,توقعتو,توقعو
ngr,نڭرت,نڭرتي,نڭرتي,نڭر,نڭرات,نڭرنا,نڭرتو,نڭرو
9bT,قبطت,قبطتي,قبطتي,قبط,قبطات,قبطنا,قبطتو,قبطو
gbD,ڭبضت,ڭبضتي,ڭبضتي,ڭبض,ڭبضات,ڭبضنا,ڭبضتو,ڭبضو
naD,نضت,نضتي,نضتي,ناض,ناضت,نضنا,نضتو,ناضو
daz,دزت,دزتي,دزتي,داز,دازت,دزنا,دزتو,دازو
7bes,حبست,حبستي,حبستي,حبس,حبسات,حبسنا,حبستو,حبسو
9yyd,قيدت,قيدتي,قيدتي,قيد,قيدات,قيدنا,قيدتو,قيدو
wllf,ولفت,ولفتي,ولفتي,ولف,ولفات,ولفنا,ولفتو,ولفو
khllT,خلطت,خلطتي,خلطتي,خلط,خلطات,خلطنا,خلطتو,خلطو
gyyd,ڭيدت,ڭيدتي,ڭيدتي,ڭيد,ڭيدات,ڭيدنا,ڭيدتو,ڭيدو
7rg,حرڭت,حرڭتي,حرڭتي,حرڭ,حرڭات,حرڭنا,حرڭتو,حرڭو
7r9,حرقت,حرقتي,حرقتي,حرق,حرقات,حرقنا,حرقتو,حرقو
staghl,ستاغليت,ستاغليتي,ستاغليتي,ستاغل,ستاغلات,ستاغلينا,ستاغليتو,ستاغلو
kma,كميت,كميتي,كميتي,كما,كمات,كمينا,كميتو,كماو
7ddr,حدرت,حدرتي,حدرتي,حدر,حدرات,حدرنا,حدرتو,حدرو
baas,بست,بستي,بستي,باس,باست,بسنا,بستو,باسو
3ln,علنت,علنتي,علنتي,علن,علنات,علنا,علنتو,علنو
khtabr,ختابرت,ختابرتي,ختابرتي,ختابر,ختابرات,ختابرنا,ختابرتو,ختابرو
tnffs,تنفست,تنفستي,تنفستي,تنفس,تنفسات,تنفسنا,تنفستو,تنفسو
fat,فت,فتي,فتي,فات,فاتت,فتنا,فتو,فاتو
Saad9,صادقت,صادقتي,صادقتي,صادق,صادقات,صادقنا,صادقتو,صادقو
7tell,حتليت,حتليتي,حتليتي,حتل,حتلات,حتلينا,حتليتو,حتلو
7arrar,حارارت,حارارتي,حارارتي,حارار,حارارات,حارارنا,حارارتو,حارارو
btasm,بتاسمت,بتاسمتي,بتاسمتي,بتاسم,بتاسمات,بتاسمنا,بتاسمتو,بتاسمو
7fr,حفرت,حفرتي,حفرتي,حفر,حفرات,حفرنا,حفرتو,حفرو
7tarm,حتارمت,حتارمتي,حتارمتي,حتارم,حتارمات,حتارمنا,حتارمتو,حتارمو
8dded,هددت,هددتي,هددتي,هدد,هددات,هددنا,هددتو,هددو
lgha,لغيت,لغيتي,لغيتي,لغا,لغات,لغينا,لغيتو,لغاو
khzn,خزنت,خزنتي,خزنتي,خزن,خزنات,خزنا,خزنتو,خزنو
nDDm,نضمت,نضمتي,نضمتي,نضم,نضمات,نضمنا,نضمتو,نضمو
